Chromosome_UR_73804_93892_StORF_63:73923-82517;UR=Chromosome_UR_73804_93892;UR_Stop_Locations=121-8716;Length=8595;Strand=-;Frame=6;UR_Frame=6;Start_Stop=TGA;End_Stop=TAA;StORF_Type=StORF	AIG00687	28.8	1025	664	22	83	1086	37	1016	1.49e-87	309
Chromosome_UR_73804_93892_StORF_62:82499-85834;UR=Chromosome_UR_73804_93892;UR_Stop_Locations=8697-12033;Length=3336;Strand=-;Frame=5;UR_Frame=4;Start_Stop=TAA;End_Stop=TGA;StORF_Type=StORF	AIG00687	30.2	1039	677	16	78	1107	37	1036	3.71e-110	366
Chromosome_UR_73804_93892_StORF_61:85832-93751;UR=Chromosome_UR_73804_93892;UR_Stop_Locations=12030-19950;Length=7920;Strand=-;Frame=5;UR_Frame=4;Start_Stop=TGA;End_Stop=TAA;StORF_Type=StORF	AIG00687	31.5	1041	622	27	77	1087	37	1016	1.50e-96	336
Chromosome_UR_188610_191301_StORF_4:189048-191246;UR=Chromosome_UR_188610_191301;UR_Stop_Locations=437-2636;Length=2199;Strand=+;Frame=3;UR_Frame=3;Start_Stop=TGA;End_Stop=TAG;StORF_Type=StORF	AIG01882	27.4	715	467	16	21	709	7	695	3.80e-61	216
Chromosome_UR_194961_197419_StORF_3:195901-197190;UR=Chromosome_UR_194961_197419;UR_Stop_Locations=939-2229;Length=1290;Strand=+;Frame=1;UR_Frame=1;Start_Stop=TGA;End_Stop=TAG;StORF_Type=StORF	AIG05382	34.2	301	178	10	98	393	8	293	2.76e-41	145
Chromosome_UR_243018_245332_StORF_17:244222-245145;UR=Chromosome_UR_243018_245332;UR_Stop_Locations=1206-2130;Length=924;Strand=-;Frame=4;UR_Frame=5;Start_Stop=TAA;End_Stop=TAA;StORF_Type=StORF	AIG05214	43.5	223	126	0	77	299	25	247	1.95e-58	185
Chromosome_UR_739559_743398_StORF_6:742995-743351;UR=Chromosome_UR_739559_743398;UR_Stop_Locations=3435-3792;Length=357;Strand=+;Frame=3;UR_Frame=1;Start_Stop=TAA;End_Stop=TGA;StORF_Type=StORF	AIG01650	41.3	104	56	2	14	113	4	106	1.67e-24	87.4
Chromosome_UR_759519_760707_StORF_0:759643-760617;UR=Chromosome_UR_759519_760707;UR_Stop_Locations=123-1098;Length=975;Strand=+;Frame=1;UR_Frame=1;Start_Stop=TGA;End_Stop=TAA;StORF_Type=StORF	AIG02086	36.1	299	184	2	10	301	1	299	3.16e-59	189
Chromosome_UR_773934_776208_StORF_3:774334-775857;UR=Chromosome_UR_773934_776208;UR_Stop_Locations=399-1923;Length=1524;Strand=+;Frame=1;UR_Frame=1;Start_Stop=TAA;End_Stop=TGA;StORF_Type=StORF	AIG03100	32.1	371	209	9	117	450	20	384	1.74e-44	159
Chromosome_UR_781036_782426_StORF_9:781464-782198;UR=Chromosome_UR_781036_782426;UR_Stop_Locations=430-1165;Length=735;Strand=-;Frame=6;UR_Frame=4;Start_Stop=TGA;End_Stop=TAG;StORF_Type=StORF	AIG02222	26.2	206	145	3	12	216	16	215	3.85e-15	69.7
