Chromosome-UR:295695-295941|Chromosome-UR:295122-296015_3|UR_Stop_Locations:573-819|Length:246|Frame:1|UR_Frame:1|Start_Stop=TAG|End_Stop=TAA|StORF_Type:Stop-ORF	AHM70950	40.0	110	27	1	2	72	1	110	9.49e-19	70.5
Chromosome-UR:751055-751268|Chromosome-UR:750831-751357_1|UR_Stop_Locations:224-437|Length:213|Frame:3|UR_Frame:3|Start_Stop=TAA|End_Stop=TGA|StORF_Type:Stop-ORF	AHM69443	100	69	0	0	2	70	1	69	1.59e-48	144
Chromosome-UR:852861-853059|Chromosome-UR:852678-853158_1|UR_Stop_Locations:183-381|Length:198|Frame:4|UR_Frame:4|Start_Stop=TGA|End_Stop=TGA|StORF_Type:Stop-ORF	AHM69543	100	37	0	0	29	65	1	37	6.30e-22	75.9
Chromosome-UR:1072702-1072936|Chromosome-UR:1072373-1073034_2|UR_Stop_Locations:329-563|Length:234|Frame:5|UR_Frame:6|Start_Stop=TAA|End_Stop=TGA|StORF_Type:Stop-ORF	AHM69721	100	67	0	0	11	77	1	67	1.27e-42	129
Chromosome-UR:1079826-1080189|Chromosome-UR:1079379-1080423_3|UR_Stop_Locations:447-810|Length:363|Frame:1|UR_Frame:1|Start_Stop=TAG|End_Stop=TGA|StORF_Type:Stop-ORF	AHM69727	100	111	0	0	10	120	1	111	2.58e-82	233
Chromosome-UR:1634622-1634817|Chromosome-UR:1634101-1635148_1|UR_Stop_Locations:521-716|Length:195|Frame:4|UR_Frame:6|Start_Stop=TAA|End_Stop=TAG|StORF_Type:Stop-ORF	AHM70232	98.4	61	1	0	4	64	1	61	3.11e-43	130
Chromosome-UR:1640706-1640892|Chromosome-UR:1640086-1640914_3|UR_Stop_Locations:620-806|Length:186|Frame:1|UR_Frame:3|Start_Stop=TAA|End_Stop=TAA|StORF_Type:Stop-ORF	AHM70237	98.3	60	1	0	2	61	1	60	5.88e-38	116
Chromosome-UR:2207113-2207338|Chromosome-UR:2206930-2207504_0|UR_Stop_Locations:183-408|Length:225|Frame:5|UR_Frame:4|Start_Stop=TAA|End_Stop=TAA|StORF_Type:Stop-ORF	AHM70737	100	64	0	0	11	74	2	65	7.84e-36	112
Chromosome-UR:2272138-2272387|Chromosome-UR:2271968-2272601_1|UR_Stop_Locations:170-419|Length:249|Frame:2|UR_Frame:3|Start_Stop=TAA|End_Stop=TAA|StORF_Type:Stop-ORF	AHM70802	100	76	0	0	7	82	1	76	1.10e-57	167
Chromosome-UR:2307486-2307702|Chromosome-UR:2307468-2307749_0|UR_Stop_Locations:18-234|Length:216|Frame:1|UR_Frame:1|Start_Stop=TGA|End_Stop=TGA|StORF_Type:Stop-ORF	AHM70838	100	67	0	0	5	71	1	67	1.77e-45	136
Chromosome-UR:2495078-2495405|Chromosome-UR:2494515-2495590_3|UR_Stop_Locations:563-890|Length:327|Frame:6|UR_Frame:6|Start_Stop=TAA|End_Stop=TAA|StORF_Type:Stop-ORF	AHM70991	100	55	0	0	54	108	1	55	3.87e-34	108
Chromosome-UR:2541668-2541965|Chromosome-UR:2541257-2542304_2|UR_Stop_Locations:411-708|Length:297|Frame:6|UR_Frame:4|Start_Stop=TAG|End_Stop=TGA|StORF_Type:Stop-ORF	AHM69644	80.4	56	11	0	4	59	7	62	1.27e-27	92.4
Chromosome-UR:2581304-2581508|Chromosome-UR:2580767-2582141_3|UR_Stop_Locations:537-741|Length:204|Frame:6|UR_Frame:4|Start_Stop=TAA|End_Stop=TAA|StORF_Type:Stop-ORF	AHM71071	100	65	0	0	3	67	1	65	3.93e-43	130
